stdID,mid-term,final,faculty,department
std79,37,63,FEN EDEBİYAT FAKÜLTESİ,Tarih (İÖ)
std80,50,70,FEN EDEBİYAT FAKÜLTESİ,Tarih (İÖ)
std81,27,49,FEN EDEBİYAT FAKÜLTESİ,Tarih (İÖ)
std82,59,71,FEN EDEBİYAT FAKÜLTESİ,Tarih (İÖ)
std83,64,57,FEN EDEBİYAT FAKÜLTESİ,Tarih (İÖ)
std84,44,65,FEN EDEBİYAT FAKÜLTESİ,Tarih (İÖ)
std85,52,68,FEN EDEBİYAT FAKÜLTESİ,Tarih (İÖ)
std86,37,74,FEN EDEBİYAT FAKÜLTESİ,Tarih (İÖ)
std87,73,68,FEN EDEBİYAT FAKÜLTESİ,Tarih (İÖ)
std88,58,75,FEN EDEBİYAT FAKÜLTESİ,Tarih (İÖ)
std89,49,67,FEN EDEBİYAT FAKÜLTESİ,Tarih (İÖ)
std90,49,60,FEN EDEBİYAT FAKÜLTESİ,Tarih (İÖ)
std91,53,62,FEN EDEBİYAT FAKÜLTESİ,Tarih (İÖ)
std92,37,37,FEN EDEBİYAT FAKÜLTESİ,Tarih (İÖ)
std93,51,77,FEN EDEBİYAT FAKÜLTESİ,Tarih (İÖ)
std94,41,62,FEN EDEBİYAT FAKÜLTESİ,Tarih (İÖ)
std95,36,69,FEN EDEBİYAT FAKÜLTESİ,Tarih (İÖ)
std96,50,69,FEN EDEBİYAT FAKÜLTESİ,Arkeoloji
std97,65,56,FEN EDEBİYAT FAKÜLTESİ,Coğrafya
std98,77,55,FEN EDEBİYAT FAKÜLTESİ,Coğrafya
std99,50,81,FEN EDEBİYAT FAKÜLTESİ,Coğrafya
std100,46,71,FEN EDEBİYAT FAKÜLTESİ,Coğrafya
std101,56,63,FEN EDEBİYAT FAKÜLTESİ,Coğrafya
std102,56,68,FEN EDEBİYAT FAKÜLTESİ,Coğrafya
std103,68,72,FEN EDEBİYAT FAKÜLTESİ,Coğrafya
std104,57,65,FEN EDEBİYAT FAKÜLTESİ,Coğrafya
std105,64,83,FEN EDEBİYAT FAKÜLTESİ,Coğrafya
std106,58,67,FEN EDEBİYAT FAKÜLTESİ,Coğrafya
std107,55,63,FEN EDEBİYAT FAKÜLTESİ,Coğrafya
std108,61,70,FEN EDEBİYAT FAKÜLTESİ,Coğrafya
std109,56,68,FEN EDEBİYAT FAKÜLTESİ,Coğrafya
std110,64,71,FEN EDEBİYAT FAKÜLTESİ,Felsefe
std111,60,67,FEN EDEBİYAT FAKÜLTESİ,Tarih
std112,76,58,FEN EDEBİYAT FAKÜLTESİ,Tarih
std113,64,71,FEN EDEBİYAT FAKÜLTESİ,Tarih
std114,61,55,FEN EDEBİYAT FAKÜLTESİ,Tarih
std115,33,56,FEN EDEBİYAT FAKÜLTESİ,Tarih
std116,37,46,FEN EDEBİYAT FAKÜLTESİ,Tarih
std117,56,86,FEN EDEBİYAT FAKÜLTESİ,Tarih
std118,62,63,FEN EDEBİYAT FAKÜLTESİ,Tarih
std119,63,74,FEN EDEBİYAT FAKÜLTESİ,Tarih
std120,54,72,FEN EDEBİYAT FAKÜLTESİ,Tarih
std121,84,76,ZİRAAT FAKÜLTESİ,Tarla Bitkileri
std122,64,64,ZİRAAT FAKÜLTESİ,Tarım Ekonomisi
std123,90,68,İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ,İktisat
std124,10,40,İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ,İktisat
std125,40,20,İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ,İktisat
std126,10,28,İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ,İktisat
std127,45,70,İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ,Maliye
std128,30,32,İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ,Uluslararası İlişkiler (%30 İngilizce)
std129,75,70,İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ,Siyaset Bilimi ve Kamu Yönetimi
std130,65,80,İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ,Siyaset Bilimi ve Kamu Yönetimi
std131,55,66,İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ,Siyaset Bilimi ve Kamu Yönetimi
std132,50,70,İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ,Siyaset Bilimi ve Kamu Yönetimi
std133,80,60,İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ,Siyaset Bilimi ve Kamu Yönetimi
std134,90,88,İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ,Uluslararası İlişkiler (%30 İngilizce)
std135,100,80,İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ,Uluslararası İlişkiler (%30 İngilizce)
std136,80,72,İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ,Uluslararası İlişkiler (%30 İngilizce)
std137,75,80,İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ,Uluslararası İlişkiler (%30 İngilizce)
std138,100,72,İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ,Uluslararası İlişkiler (%30 İngilizce)
std139,100,68,İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ,Uluslararası İlişkiler (%30 İngilizce)
std140,85,56,İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ,Uluslararası İlişkiler (%30 İngilizce)
std141,90,72,İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ,Uluslararası İlişkiler (%30 İngilizce)
std142,90,72,İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ,Uluslararası İlişkiler (%30 İngilizce)
std143,100,76,İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ,Uluslararası İlişkiler (%30 İngilizce)
std144,100,72,İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ,Uluslararası İlişkiler (%30 İngilizce)
std145,85,68,İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ,Uluslararası İlişkiler (%30 İngilizce)
std146,85,44,İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ,Uluslararası İlişkiler (%30 İngilizce)
std147,85,68,İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ,Uluslararası İlişkiler (%30 İngilizce)
std148,70,54,İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ,Uluslararası İlişkiler (%30 İngilizce)
std149,100,72,İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ,Uluslararası İlişkiler (%30 İngilizce) (İÖ)
std150,45,84,MÜHENDİSLİK-MİMARLIK FAKÜLTESİ,Bilgisayar Mühendisliği
std151,65,65,MÜHENDİSLİK-MİMARLIK FAKÜLTESİ,Bilgisayar Mühendisliği
std152,55,65,MÜHENDİSLİK-MİMARLIK FAKÜLTESİ,Bilgisayar Mühendisliği
std153,10,94,MÜHENDİSLİK-MİMARLIK FAKÜLTESİ,Bilgisayar Mühendisliği
std154,100,80,MÜHENDİSLİK-MİMARLIK FAKÜLTESİ,Elektrik Elektronik Mühendisliği
std155,100,76,MÜHENDİSLİK-MİMARLIK FAKÜLTESİ,İnşaat Mühendisliği
std156,60,60,MÜHENDİSLİK-MİMARLIK FAKÜLTESİ,İnşaat Mühendisliği
std157,45,70,MÜHENDİSLİK-MİMARLIK FAKÜLTESİ,İnşaat Mühendisliği
std158,56,63,NEŞET ERTAŞ GÜZEL SANATLAR FAKÜLTESİ,Müzik
std159,80,90,NEŞET ERTAŞ GÜZEL SANATLAR FAKÜLTESİ,Müzik
std160,66,61,İSLAMİ İLİMLER FAKÜLTESİ,İslami İlimler
std161,47,30,BEDEN EĞİTİMİ VE SPOR YÜKSEKOKULU,Beden Eğitimi ve Spor Öğretmenliği
std162,19,21,BEDEN EĞİTİMİ VE SPOR YÜKSEKOKULU,Beden Eğitimi ve Spor Öğretmenliği
std163,55,42,BEDEN EĞİTİMİ VE SPOR YÜKSEKOKULU,Beden Eğitimi ve Spor Öğretmenliği
std164,46,10,BEDEN EĞİTİMİ VE SPOR YÜKSEKOKULU,Beden Eğitimi ve Spor Öğretmenliği
std165,43,56,BEDEN EĞİTİMİ VE SPOR YÜKSEKOKULU,Antrenörlük Eğitimi
std166,54,65,BEDEN EĞİTİMİ VE SPOR YÜKSEKOKULU,Antrenörlük Eğitimi
std167,68,67,BEDEN EĞİTİMİ VE SPOR YÜKSEKOKULU,Antrenörlük Eğitimi
std168,71,52,BEDEN EĞİTİMİ VE SPOR YÜKSEKOKULU,Antrenörlük Eğitimi
std169,72,53,BEDEN EĞİTİMİ VE SPOR YÜKSEKOKULU,Antrenörlük Eğitimi
std170,55,76,BEDEN EĞİTİMİ VE SPOR YÜKSEKOKULU,Antrenörlük Eğitimi
std171,55,42,BEDEN EĞİTİMİ VE SPOR YÜKSEKOKULU,Antrenörlük Eğitimi
std172,40,36,BEDEN EĞİTİMİ VE SPOR YÜKSEKOKULU,Spor Yöneticiliği
std173,43,79,BEDEN EĞİTİMİ VE SPOR YÜKSEKOKULU,Spor Yöneticiliği
std174,49,70,BEDEN EĞİTİMİ VE SPOR YÜKSEKOKULU,Spor Yöneticiliği
std175,72,73,BEDEN EĞİTİMİ VE SPOR YÜKSEKOKULU,Spor Yöneticiliği
std176,56,50,BEDEN EĞİTİMİ VE SPOR YÜKSEKOKULU,Spor Yöneticiliği
std177,44,44,BEDEN EĞİTİMİ VE SPOR YÜKSEKOKULU,Spor Yöneticiliği
std178,80,90,FİZİK TEDAVİ VE REHABİLİTASYON YÜKSEKOKULU,Fizyoterapi ve Rehabilitasyon
std179,44,70,FİZİK TEDAVİ VE REHABİLİTASYON YÜKSEKOKULU,Fizyoterapi ve Rehabilitasyon
std180,52,70,BEDEN EĞİTİMİ VE SPOR YÜKSEKOKULU,Beden Eğitimi ve Spor Öğretmenliği
std181,45,48,BEDEN EĞİTİMİ VE SPOR YÜKSEKOKULU,Beden Eğitimi ve Spor Öğretmenliği
std182,70,70,EĞİTİM FAKÜLTESİ,Fen Bilgisi Öğretmenliği
std183,85,75,EĞİTİM FAKÜLTESİ,Fen Bilgisi Öğretmenliği
std184,75,80,EĞİTİM FAKÜLTESİ,Fen Bilgisi Öğretmenliği
std185,50,66,EĞİTİM FAKÜLTESİ,Fen Bilgisi Öğretmenliği
std186,45,70,EĞİTİM FAKÜLTESİ,Fen Bilgisi Öğretmenliği
std187,50,66,EĞİTİM FAKÜLTESİ,Fen Bilgisi Öğretmenliği
std188,50,66,EĞİTİM FAKÜLTESİ,Fen Bilgisi Öğretmenliği
std189,60,85,EĞİTİM FAKÜLTESİ,Fen Bilgisi Öğretmenliği
std190,65,75,EĞİTİM FAKÜLTESİ,Fen Bilgisi Öğretmenliği
std191,40,50,EĞİTİM FAKÜLTESİ,Fen Bilgisi Öğretmenliği
std192,25,55,EĞİTİM FAKÜLTESİ,Fen Bilgisi Öğretmenliği
std193,90,85,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std194,85,75,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std195,77,90,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std196,85,85,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std197,55,63,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std198,75,95,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std199,60,75,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std200,70,80,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std201,50,75,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std202,80,65,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std203,60,60,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std204,80,75,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std205,60,65,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std206,55,65,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std207,85,90,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std208,50,66,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std209,75,80,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std210,65,65,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std211,65,75,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std212,65,70,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std213,65,90,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std214,75,70,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std215,55,70,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std216,80,70,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std217,65,80,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std218,55,63,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std219,60,80,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std220,85,75,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std221,60,70,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std222,65,85,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std223,75,55,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std224,75,90,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std225,80,75,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std226,80,85,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std227,80,80,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std228,80,75,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std229,75,75,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std230,80,75,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std231,55,63,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std232,50,66,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std233,65,75,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std234,75,65,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std235,60,60,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std236,55,65,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std237,60,60,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std238,65,75,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std239,80,65,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std240,80,60,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std241,60,60,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std242,30,55,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std243,30,40,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std244,30,80,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std245,68,70,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std246,50,66,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std247,85,65,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std248,96,100,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std249,92,100,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std250,88,68,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std251,76,92,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std252,64,68,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std253,100,96,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std254,98,84,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std255,92,92,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std256,98,88,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std257,76,76,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std258,92,72,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std259,72,80,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std260,92,80,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std261,80,96,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std262,96,84,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std263,60,88,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std264,68,84,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std265,80,56,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std266,76,92,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std267,76,88,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std268,88,80,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std269,98,72,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std270,64,76,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std271,80,92,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std272,80,92,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std273,88,96,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std274,68,68,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std275,92,92,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std276,98,92,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std277,88,84,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std278,96,92,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std279,72,72,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std280,96,86,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std281,94,76,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std282,94,96,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std283,76,80,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std284,94,88,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std285,88,96,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std286,88,98,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std287,94,96,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std288,84,84,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std289,94,80,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std290,88,92,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std291,90,84,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std292,98,76,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std293,94,88,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std294,88,84,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std295,88,96,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std296,88,92,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std297,88,92,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std298,88,78,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
